CDIGO DO MUNICPIO - TOM;CDIGO DO MUNICPIO - IBGE;MUNICPIO - TOM;MUNICPIO - IBGE;UF
109;1200336;MNCIO LIMA;Mncio Lima;AC
110;2100550;AMAP DO MARANHO;Amap do Maranho;MA
111;5108907;NOVA MARING;Nova Maring;MT
112;2100832;APICUM-AU;Apicum-Au;MA
113;1200302;FEIJ;Feij;AC
114;2100873;ARAGUAN;Araguan;MA
115;5107263;SANTO AFONSO;Santo Afonso;MT
116;2101251;BACABEIRA;Bacabeira;MA
117;5106158;NOVA BANDEIRANTES;Nova Bandeirantes;MT
118;2101350;BACURITUBA;Bacurituba;MA
119;5108956;NOVA MONTE VERDE;Nova Monte Verde;MT
120;2101731;BELGUA;Belgua;MA
121;5108808;NOVA GUARITA;Nova Guarita;MT
122;2101772;BELA VISTA DO MARANHO;Bela Vista do Maranho;MA
123;5107248;SANTA CARMEM;Santa Carmem;MT
124;2101939;BERNARDO DO MEARIM;Bernardo do Mearim;MA
125;5107941;TABAPOR;Tabapor;MT
126;2101970;BOA VISTA DO GURUPI;Boa Vista do Gurupi;MA
127;5100359;ALTO BOA VISTA;Alto Boa Vista;MT
128;2102036;BOM JESUS DAS SELVAS;Bom Jesus das Selvas;MA
129;5102694;CANABRAVA DO NORTE;Canabrava do Norte;MT
130;2102077;BOM LUGAR;Bom Lugar;MA
131;5103353;CONFRESA;Confresa;MT
132;2102150;BREJO DE AREIA;Brejo de Areia;MA
133;5107354;SO JOS DO XINGU;So Jos do Xingu;MT
134;2102325;BURITICUPU;Buriticupu;MA
135;5103957;GLRIA D'OESTE;Glria D'Oeste;MT
136;2102358;BURITIRANA;Buritirana;MA
137;5105234;LAMBARI D'OESTE;Lambari D'Oeste;MT
138;2102374;CACHOEIRA GRANDE;Cachoeira Grande;MA
139;1200401;RIO BRANCO;Rio Branco;AC
140;2102556;CAMPESTRE DO MARANHO;Campestre do Maranho;MA
141;5000252;ALCINPOLIS;Alcinpolis;MS
142;2102754;CAPINZAL DO NORTE;Capinzal do Norte;MA
143;5006002;NOVA ALVORADA DO SUL;Nova Alvorada do Sul;MS
144;2103125;CENTRAL DO MARANHO;Central do Maranho;MA
145;1200500;SENA MADUREIRA;Sena Madureira;AC
146;2103158;CENTRO DO GUILHERME;Centro do Guilherme;MA
147;1200609;TARAUAC;Tarauac;AC
148;2103174;CENTRO NOVO DO MARANHO;Centro Novo do Maranho;MA
149;1200708;XAPURI;Xapuri;AC
150;2103257;CIDELNDIA;Cidelndia;MA
151;1200385;PLCIDO DE CASTRO;Plcido de Castro;AC
152;2103554;CONCEIO DO LAGO-AU;Conceio do Lago-Au;MA
153;1200450;SENADOR GUIOMARD;Senador Guiomard;AC
154;2103752;DAVINPOLIS;Davinpolis;MA
155;1200344;MANOEL URBANO;Manoel Urbano;AC
156;2104073;FEIRA NOVA DO MARANHO;Feira Nova do Maranho;MA
157;1200054;ASSIS BRASIL;Assis Brasil;AC
158;2104081;FERNANDO FALCO;Fernando Falco;MA
159;5006259;NOVO HORIZONTE DO SUL;Novo Horizonte do Sul;MS
160;2104099;FORMOSA DA SERRA NEGRA;Formosa da Serra Negra;MA
161;5004809;JAPOR;Japor;MS
162;2104552;GOVERNADOR EDISON LOBO;Governador Edison Lobo;MA
163;5005251;LAGUNA CARAP;Laguna Carap;MS
164;2104628;GOVERNADOR LUIZ ROCHA;Governador Luiz Rocha;MA
165;1701051;ANGICO;Angico;TO
166;2104651;GOVERNADOR NEWTON BELLO;Governador Newton Bello;MA
167;1701309;ARAGOMINAS;Aragominas;TO
168;2104677;GOVERNADOR NUNES FREIRE;Governador Nunes Freire;MA
169;1702158;ARAGUAN;Araguan;TO
170;2105153;IGARAP DO MEIO;Igarap do Meio;MA
171;1703826;CACHOEIRINHA;Cachoeirinha;TO
172;2105351;ITAIPAVA DO GRAJA;Itaipava do Graja;MA
173;1703842;CAMPOS LINDOS;Campos Lindos;TO
174;2105427;ITINGA DO MARANHO;Itinga do Maranho;MA
175;1703883;CARMOLNDIA;Carmolndia;TO
176;2105450;JATOB;Jatob;MA
177;1703891;CARRASCO BONITO;Carrasco Bonito;TO
178;2105476;JENIPAPO DOS VIEIRAS;Jenipapo dos Vieiras;MA
179;1706506;DARCINPOLIS;Darcinpolis;TO
180;2105658;JUNCO DO MARANHO;Junco do Maranho;MA
181;1707405;ESPERANTINA;Esperantina;TO
182;2105922;LAGOA DO MATO;Lagoa do Mato;MA
183;1712801;MAURILNDIA DO TOCANTINS;Maurilndia do Tocantins;TO
184;2105948;LAGO DOS RODRIGUES;Lago dos Rodrigues;MA
185;1713809;PALMEIRAS DO TOCANTINS;Palmeiras do Tocantins;TO
186;2105963;LAGOA GRANDE DO MARANHO;Lagoa Grande do Maranho;MA
187;1713957;MURICILNDIA;Muricilndia;TO
188;2105989;LAJEADO NOVO;Lajeado Novo;MA
189;1715705;PALMEIRANTE;Palmeirante;TO
190;2106326;MARACAUM;Maracaum;MA
191;1716307;PAU D'ARCO;Pau D'Arco;TO
192;2106359;MARAJ DO SENA;Maraj do Sena;MA
193;1718550;RIACHINHO;Riachinho;TO
194;2106375;MARANHOZINHO;Maranhozinho;MA
195;1718865;SANTA F DO ARAGUAIA;Santa F do Araguaia;TO
196;2106631;MATES DO NORTE;Mates do Norte;MA
197;1720101;SO BENTO DO TOCANTINS;So Bento do Tocantins;TO
198;2106672;MILAGRES DO MARANHO;Milagres do Maranho;MA
199;1720200;SO MIGUEL DO TOCANTINS;So Miguel do Tocantins;TO
200;2107258;NOVA COLINAS;Nova Colinas;MA
201;1303205;NOVO AIRO;Novo Airo;AM
202;2107357;NOVA OLINDA DO MARANHO;Nova Olinda do Maranho;MA
203;1300102;ANORI;Anori;AM
204;2107456;OLINDA NOVA DO MARANHO;Olinda Nova do Maranho;MA
205;1300201;ATALAIA DO NORTE;Atalaia do Norte;AM
206;2108058;PAULINO NEVES;Paulino Neves;MA
207;1300300;AUTAZES;Autazes;AM
208;2108256;PEDRO DO ROSRIO;Pedro do Rosrio;MA
209;1300409;BARCELOS;Barcelos;AM
210;2108454;PERITOR;Peritor;MA
211;1300508;BARREIRINHA;Barreirinha;AM
212;2109056;PORTO RICO DO MARANHO;Porto Rico do Maranho;MA
213;1300607;BENJAMIN CONSTANT;Benjamin Constant;AM
214;2109239;PRESIDENTE MDICI;Presidente Mdici;MA
215;1300706;BOCA DO ACRE;Boca do Acre;AM
216;2109270;PRESIDENTE SARNEY;Presidente Sarney;MA
217;1300805;BORBA;Borba;AM
218;2109452;RAPOSA;Raposa;MA
219;1300904;CANUTAMA;Canutama;AM
220;2109551;RIBAMAR FIQUENE;Ribamar Fiquene;MA
221;1301001;CARAUARI;Carauari;AM
222;2109759;SANTA FILOMENA DO MARANHO;Santa Filomena do Maranho;MA
223;1301100;CAREIRO;Careiro;AM
224;2110237;SANTANA DO MARANHO;Santana do Maranho;MA
225;1301209;COARI;Coari;AM
226;2110278;SANTO AMARO DO MARANHO;Santo Amaro do Maranho;MA
227;1301308;CODAJS;Codajs;AM
228;2110658;SO DOMINGOS DO AZEITO;So Domingos do Azeito;MA
229;1301407;EIRUNEP;Eirunep;AM
230;2110856;SO FRANCISCO DO BREJO;So Francisco do Brejo;MA
231;1301506;ENVIRA;Envira;AM
232;2111029;SO JOO DO CAR;So Joo do Car;MA
233;1301605;FONTE BOA;Fonte Boa;AM
234;2111052;SO JOO DO PARASO;So Joo do Paraso;MA
235;1301704;HUMAIT;Humait;AM
236;2111078;SO JOO DO SOTER;So Joo do Soter;MA
237;1303601;SANTA ISABEL DO RIO NEGRO;Santa Isabel do Rio Negro;AM
238;2111250;SO JOS DOS BASLIOS;So Jos dos Baslios;MA
239;1301803;IPIXUNA;Ipixuna;AM
240;2111532;SO PEDRO DA GUA BRANCA;So Pedro da gua Branca;MA
241;1301902;ITACOATIARA;Itacoatiara;AM
242;2111573;SO PEDRO DOS CRENTES;So Pedro dos Crentes;MA
243;1302009;ITAPIRANGA;Itapiranga;AM
244;2111631;SO RAIMUNDO DO DOCA BEZERRA;So Raimundo do Doca Bezerra;MA
245;1302108;JAPUR;Japur;AM
246;2111672;SO ROBERTO;So Roberto;MA
247;1302207;JURU;Juru;AM
248;2111722;SATUBINHA;Satubinha;MA
249;1302306;JUTA;Juta;AM
250;2111748;SENADOR ALEXANDRE COSTA;Senador Alexandre Costa;MA
251;1302405;LBREA;Lbrea;AM
252;2111763;SENADOR LA ROCQUE;Senador La Rocque;MA
253;1302504;MANACAPURU;Manacapuru;AM
254;2111789;SERRANO DO MARANHO;Serrano do Maranho;MA
255;1302603;MANAUS;Manaus;AM
256;2111953;SUCUPIRA DO RIACHO;Sucupira do Riacho;MA
257;1302702;MANICOR;Manicor;AM
258;2112233;TRIZIDELA DO VALE;Trizidela do Vale;MA
259;1302801;MARA;Mara;AM
260;2112274;TUFILNDIA;Tufilndia;MA
261;1302900;MAUS;Maus;AM
262;2112456;TURILNDIA;Turilndia;MA
263;1303007;NHAMUND;Nhamund;AM
264;2112852;VILA NOVA DOS MARTRIOS;Vila Nova dos Martrios;MA
265;1303106;NOVA OLINDA DO NORTE;Nova Olinda do Norte;AM
266;2200053;ACAU;Acau;PI
267;1303304;NOVO ARIPUAN;Novo Aripuan;AM
268;2200459;ALVORADA DO GURGUIA;Alvorada do Gurguia;PI
269;1303403;PARINTINS;Parintins;AM
270;2201051;ASSUNO DO PIAU;Assuno do Piau;PI
271;1303502;PAUINI;Pauini;AM
272;2201176;BARRA D'ALCNTARA;Barra D'Alcntara;PI
273;1303700;SANTO ANTNIO DO I;Santo Antnio do I;AM
274;2201556;BELA VISTA DO PIAU;Bela Vista do Piau;PI
275;1303908;SO PAULO DE OLIVENA;So Paulo de Olivena;AM
276;2201572;BELM DO PIAU;Belm do Piau;PI
277;1304005;SILVES;Silves;AM
278;2201739;BETNIA DO PIAU;Betnia do Piau;PI
279;1304104;TAPAU;Tapau;AM
280;2201770;BOA HORA;Boa Hora;PI
281;1304203;TEF;Tef;AM
282;2201945;BOQUEIRO DO PIAU;Boqueiro do Piau;PI
283;1303809;SO GABRIEL DA CACHOEIRA;So Gabriel da Cachoeira;AM
284;2201988;BREJO DO PIAU;Brejo do Piau;PI
285;1304302;URUCAR;Urucar;AM
286;2202075;CAJAZEIRAS DO PIAU;Cajazeiras do Piau;PI
287;1304401;URUCURITUBA;Urucurituba;AM
288;2202083;CAJUEIRO DA PRAIA;Cajueiro da Praia;PI
289;1300029;ALVARES;Alvares;AM
290;2202117;CAMPO ALEGRE DO FIDALGO;Campo Alegre do Fidalgo;PI
291;1300060;AMATUR;Amatur;AM
292;2202133;CAMPO GRANDE DO PIAU;Campo Grande do Piau;PI
293;1300086;ANAM;Anam;AM
294;2202174;CAMPO LARGO DO PIAU;Campo Largo do Piau;PI
295;1300631;BERURI;Beruri;AM
296;2202455;CAPITO GERVSIO OLIVEIRA;Capito Gervsio Oliveira;PI
297;1300680;BOA VISTA DO RAMOS;Boa Vista do Ramos;AM
298;2202539;CARABAS DO PIAU;Carabas do Piau;PI
299;1300839;CAAPIRANGA;Caapiranga;AM
300;2202554;CARIDADE DO PIAU;Caridade do Piau;PI
301;1400100;BOA VISTA;Boa Vista;RR
302;2202653;CAXING;Caxing;PI
303;1400209;CARACARA;Caracara;RR
304;2202711;COCAL DE TELHA;Cocal de Telha;PI
305;1400050;ALTO ALEGRE;Alto Alegre;RR
306;2202729;COCAL DOS ALVES;Cocal dos Alves;PI
307;1400159;BONFIM;Bonfim;RR
308;2203230;CURRAIS;Currais;PI
309;1400308;MUCAJA;Mucaja;RR
310;2203255;CURRALINHOS;Curralinhos;PI
311;1400407;NORMANDIA;Normandia;RR
312;2203271;CURRAL NOVO DO PIAU;Curral Novo do Piau;PI
313;1400506;SO JOO DA BALIZA;So Joo da Baliza;RR
314;2203859;FLORESTA DO PIAU;Floresta do Piau;PI
315;1400605;SO LUIZ;So Luiz;RR
316;2204154;FRANCISCO MACEDO;Francisco Macedo;PI
317;1712702;MATEIROS;Mateiros;TO
318;2204352;GEMINIANO;Geminiano;PI
320;2204550;GUARIBAS;Guaribas;PI
321;1715259;NOVO JARDIM;Novo Jardim;TO
322;2204659;ILHA GRANDE;Ilha Grande;PI
323;1718659;RIO DA CONCEIO;Rio da Conceio;TO
324;2205276;JATOB DO PIAU;Jatob do Piau;PI
325;1720937;TAIPAS DO TOCANTINS;Taipas do Tocantins;TO
326;2205359;JOO COSTA;Joo Costa;PI
327;1703867;CARIRI DO TOCANTINS;Cariri do Tocantins;TO
328;2205458;JOCA MARQUES;Joca Marques;PI
329;1711506;JA DO TOCANTINS;Ja do Tocantins;TO
330;2205516;JUAZEIRO DO PIAU;Juazeiro do Piau;PI
331;1718840;SANDOLNDIA;Sandolndia;TO
332;2205524;JLIO BORGES;Jlio Borges;PI
333;1720259;SO SALVADOR DO TOCANTINS;So Salvador do Tocantins;TO
334;2205532;JUREMA;Jurema;PI
335;1720853;SUCUPIRA;Sucupira;TO
336;2205540;LAGOINHA DO PIAU;Lagoinha do Piau;PI
337;1700251;ABREULNDIA;Abreulndia;TO
338;2205573;LAGOA DE SO FRANCISCO;Lagoa de So Francisco;PI
339;1703602;BRASILNDIA DO TOCANTINS;Brasilndia do Tocantins;TO
340;2205581;LAGOA DO PIAU;Lagoa do Piau;PI
341;1703305;BOM JESUS DO TOCANTINS;Bom Jesus do Tocantins;TO
342;2205599;LAGOA DO STIO;Lagoa do Stio;PI
343;1704105;CENTENRIO;Centenrio;TO
344;2205854;MADEIRO;Madeiro;PI
345;1708254;FORTALEZA DO TABOCO;Taboco;TO
346;2206050;MASSAP DO PIAU;Massap do Piau;PI
347;1710904;ITAPIRATINS;Itapiratins;TO
348;2206357;MILTON BRANDO;Milton Brando;PI
349;1711803;JUARINA;Juarina;TO
350;2206654;MORRO CABEA NO TEMPO;Morro Cabea no Tempo;PI
351;1712009;LAJEADO;Lajeado;TO
352;2206670;MORRO DO CHAPU DO PIAU;Morro do Chapu do Piau;PI
353;1711951;LAGOA DO TOCANTINS;Lagoa do Tocantins;TO
354;2206696;MURICI DOS PORTELAS;Murici dos Portelas;PI
355;1717206;PIRAQU;Piraqu;TO
356;2206753;NOSSA SENHORA DE NAZAR;Nossa Senhora de Nazar;PI
357;1718501;RECURSOLNDIA;Recursolndia;TO
358;2206951;NOVO SANTO ANTNIO;Novo Santo Antnio;PI
359;1718709;RIO DOS BOIS;Rio dos Bois;TO
360;2207108;OLHO D'GUA DO PIAU;Olho D'gua do Piau;PI
361;1718881;SANTA MARIA DO TOCANTINS;Santa Maria do Tocantins;TO
362;2207355;PAJE DO PIAU;Paje do Piau;PI
363;1720150;SO FLIX DO TOCANTINS;So Flix do Tocantins;TO
364;2207553;PAQUET;Paquet;PI
365;1721307;TUPIRATINS;Tupiratins;TO
366;2207850;PAVUSSU;Pavussu;PI
367;1711902;LAGOA DA CONFUSO;Lagoa da Confuso;TO
368;2207934;PEDRO LAURENTINO;Pedro Laurentino;PI
369;1506351;SANTA BRBARA DO PAR;Santa Brbara do Par;PA
370;2207959;NOVA SANTA RITA;Nova Santa Rita;PI
371;1506559;SANTA LUZIA DO PAR;Santa Luzia do Par;PA
372;2208551;PORTO ALEGRE DO PIAU;Porto Alegre do Piau;PI
373;1507961;TERRA ALTA;Terra Alta;PA
374;2208858;RIACHO FRIO;Riacho Frio;PI
375;1500131;ABEL FIGUEIREDO;Abel Figueiredo;PA
376;2208874;RIBEIRA DO PIAU;Ribeira do Piau;PI
377;1502954;ELDORADO DOS CARAJS;Eldorado do Carajs;PA
378;2209450;SANTO ANTNIO DOS MILAGRES;Santo Antnio dos Milagres;PI
379;1505494;PALESTINA DO PAR;Palestina do Par;PA
380;2209658;SO FRANCISCO DE ASSIS DO PIAU;So Francisco de Assis do Piau;PI
381;1507151;SO DOMINGOS DO ARAGUAIA;So Domingos do Araguaia;PA
382;2209757;SO GONALO DO GURGUIA;So Gonalo do Gurguia;PI
383;1500347;GUA AZUL DO NORTE;gua Azul do Norte;PA
384;2209872;SO JOO DA FRONTEIRA;So Joo da Fronteira;PI
385;1502764;CUMARU DO NORTE;Cumaru do Norte;PA
386;2209955;SO JOO DA VARJOTA;So Joo da Varjota;PI
387;1505551;PAU D'ARCO;Pau D'Arco;PA
388;2209971;SO JOO DO ARRAIAL;So Joo do Arraial;PI
389;1500958;AURORA DO PAR;Aurora do Par;PA
390;2210375;SO LUIS DO PIAU;So Luis do Piau;PI
391;1504950;NOVA ESPERANA DO PIRI;Nova Esperana do Piri;PA
392;2210383;SO MIGUEL DA BAIXA GRANDE;So Miguel da Baixa Grande;PI
393;1507474;SO JOO DE PIRABAS;So Joo de Pirabas;PA
394;2210391;SO MIGUEL DO FIDALGO;So Miguel do Fidalgo;PI
395;1507953;TAILNDIA;Tailndia;PA
396;2210623;SEBASTIO BARROS;Sebastio Barros;PI
397;1508084;TUCUM;Tucum;PA
398;2210631;SEBASTIO LEAL;Sebastio Leal;PI
399;1508159;URUAR;Uruar;PA
400;2210938;SUSSUAPARA;Sussuapara;PI
401;1500107;ABAETETUBA;Abaetetuba;PA
402;2210953;TAMBORIL DO PIAU;Tamboril do Piau;PI
403;1500206;ACAR;Acar;PA
404;2210979;TANQUE DO PIAU;Tanque do Piau;PI
405;1500305;AFU;Afu;PA
406;2211506;VERA MENDES;Vera Mendes;PI
407;1500404;ALENQUER;Alenquer;PA
408;2211605;VILA NOVA DO PIAU;Vila Nova do Piau;PI
409;1500503;ALMEIRIM;Almeirim;PA
410;2211704;WALL FERRAZ;Wall Ferraz;PI
411;1500602;ALTAMIRA;Altamira;PA
412;2401651;BOD;Bod;RN
413;1500701;ANAJS;Anajs;PA
414;2401859;CAIARA DO NORTE;Caiara do Norte;RN
415;1500800;ANANINDEUA;Ananindeua;PA
416;2403756;FERNANDO PEDROZA;Fernando Pedroza;RN
417;1500909;AUGUSTO CORRA;Augusto Corra;PA
418;2404853;ITAJ;Itaj;RN
419;1501006;AVEIRO;Aveiro;PA
420;2407252;MAJOR SALES;Major Sales;RN
421;1501105;BAGRE;Bagre;PA
422;2408953;RIO DO FOGO;Rio do Fogo;RN
423;1501204;BAIO;Baio;PA
424;2409332;SANTA MARIA;Santa Maria;RN
425;1501303;BARCARENA;Barcarena;PA
426;2410256;PORTO DO MANGUE;Porto do Mangue;RN
427;1501402;BELM;Belm;PA
428;2411056;TIBAU;Tibau;RN
429;1501501;BENEVIDES;Benevides;PA
430;2412559;SO MIGUEL DO GOSTOSO;So Miguel do Gostoso;RN
431;1501600;BONITO;Bonito;PA
432;2413557;SERRINHA DOS PINTOS;Serrinha dos Pintos;RN
433;1501709;BRAGANA;Bragana;PA
434;2414159;TENENTE LAURENTINO CRUZ;Tenente Laurentino Cruz;RN
435;1501808;BREVES;Breves;PA
436;2414456;TRIUNFO POTIGUAR;Triunfo Potiguar;RN
437;1501907;BUJARU;Bujaru;PA
438;2414753;VENHA-VER;Venha-Ver;RN
439;1502004;CACHOEIRA DO ARARI;Cachoeira do Arari;PA
440;2500536;ALCANTIL;Alcantil;PB
441;1502103;CAMET;Camet;PA
442;2500577;ALGODO DE JANDARA;Algodo de Jandara;PB
443;1502202;CAPANEMA;Capanema;PA
444;2500734;AMPARO;Amparo;PB
445;1502301;CAPITO POO;Capito Poo;PA
446;2500775;APARECIDA;Aparecida;PB
447;1502400;CASTANHAL;Castanhal;PA
448;2501153;AREIA DE BARANAS;Areia de Baranas;PB
449;1502509;CHAVES;Chaves;PA
450;2501351;ASSUNO;Assuno;PB
451;1502608;COLARES;Colares;PA
452;2501534;BARANA;Barana;PB
453;1502707;CONCEIO DO ARAGUAIA;Conceio do Araguaia;PA
454;2501575;BARRA DE SANTANA;Barra de Santana;PB
455;1502806;CURRALINHO;Curralinho;PA
456;2502052;BERNARDINO BATISTA;Bernardino Batista;PB
457;1502905;CURU;Curu;PA
458;2502151;BOA VISTA;Boa Vista;PB
459;1503002;FARO;Faro;PA
460;2503555;CACIMBAS;Cacimbas;PB
461;1503101;GURUP;Gurup;PA
462;2503753;CAJAZEIRINHAS;Cajazeirinhas;PB
463;1503200;IGARAP-AU;Igarap-Au;PA
464;2504033;CAPIM;Capim;PB
465;1503309;IGARAP-MIRI;Igarap-Miri;PA
466;2504074;CARABAS;Carabas;PB
467;1503408;INHANGAPI;Inhangapi;PA
468;2504157;CASSERENGUE;Casserengue;PB
469;1503507;IRITUIA;Irituia;PA
470;2504355;CATURIT;Caturit;PB
471;1503606;ITAITUBA;Itaituba;PA
472;2504850;COXIXOLA;Coxixola;PB
473;1503705;ITUPIRANGA;Itupiranga;PA
474;2505238;CUIT DE MAMANGUAPE;Cuit de Mamanguape;PB
475;1503804;JACUND;Jacund;PA
476;2505279;CURRAL DE CIMA;Curral de Cima;PB
477;1503903;JURUTI;Juruti;PA
478;2505352;DAMIO;Damio;PB
479;1504000;LIMOEIRO DO AJURU;Limoeiro do Ajuru;PA
480;2506251;GADO BRAVO;Gado Bravo;PB
